OrderId,CustomerId,CustomerEmail,RestaurantId,RestaurantName,GroupSize,ItemCount,OrderTotalEUR,Status,DeliveryMinutes,OrderDateTime
ORD-000048,003DQ00000Gq3DmYAJ,lotte.vos11@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,29.43,Cancelled,30,2025-08-27 19:33:00
ORD-000049,003DQ00000Gq3DnYAJ,thomas.peters12@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,67.61,Delivered,33,2025-05-18 16:13:00
ORD-000050,003DQ00000Gq3E9YAJ,sven.leeuwen34@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,52.67,Delivered,38,2025-08-21 23:27:00
ORD-000051,003DQ00000Gq3EPYAZ,floris.bos50@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,10.81,Delivered,45,2025-12-09 16:55:00
ORD-000052,003DQ00000Gq3DfYAJ,lucas.bakker4@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,93.03,Delivered,30,2025-11-19 06:28:00
ORD-000053,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,8.28,Delivered,62,2026-01-09 03:53:00
ORD-000054,003DQ00000Gq3DvYAJ,levi.graaf20@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,30.36,Delivered,27,2025-09-24 06:45:00
ORD-000055,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,19.12,Delivered,33,2025-03-22 12:57:00
ORD-000056,003DQ00000Gq3EAYAZ,lieke.dekker35@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,17.12,Delivered,32,2025-06-07 02:31:00
ORD-000057,003DQ00000Gq3DxYAJ,jesse.jansen22@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,52.25,Delivered,62,2025-09-20 02:24:00
ORD-000058,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,17.63,Refunded,34,2026-01-14 16:58:00
ORD-000059,003DQ00000Gq3DwYAJ,mila.vries21@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,4.74,Delivered,20,2025-12-20 03:58:00
ORD-000060,003DQ00000Gq3DqYAJ,eva.dekker15@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,22.8,Delivered,46,2025-10-01 11:07:00
ORD-000061,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.19,Delivered,42,2026-04-01 17:49:00
ORD-000062,003DQ00000Gq3DjYAJ,finn.mulder8@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,25.13,Delivered,50,2025-01-19 09:38:00
ORD-000063,003DQ00000Gq3DrYAJ,noah.brouwer16@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.38,Delivered,55,2025-04-19 09:46:00
ORD-000064,003DQ00000Gq3DtYAJ,liam.dijkstra18@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.82,Delivered,62,2026-04-10 16:43:00
ORD-000065,003DQ00000Gq3DdYAJ,daan.jansen2@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.72,Delivered,30,2025-02-18 19:13:00
ORD-000066,003DQ00000Gq3E3YAJ,stijn.mulder28@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,19.12,Delivered,31,2025-01-19 00:40:00
ORD-000067,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,20,10,149.02,Delivered,42,2025-04-20 00:26:00
ORD-000068,003DQ00000Gq3EGYAZ,yara.vries41@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,14.87,Delivered,34,2025-04-09 02:39:00
ORD-000069,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,46.6,Delivered,36,2025-06-12 09:21:00
ORD-000070,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,79.91,Delivered,47,2026-05-11 07:25:00
ORD-000071,003DQ00000Gq3DuYAJ,sophie.smits19@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,12.72,Cancelled,32,2025-06-02 06:29:00
ORD-000072,003DQ00000Gq3EFYAZ,pim.graaf40@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,14.09,Delivered,27,2025-12-30 20:32:00
ORD-000073,003DQ00000Gq3ECYAZ,esther.wit37@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,72.74,Delivered,45,2025-01-01 11:31:00
ORD-000074,003DQ00000Gq3E5YAJ,gijs.bos30@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,15.43,Delivered,37,2025-04-20 02:51:00
ORD-000075,003DQ00000Gq3DoYAJ,anna.hendriks13@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,70.15,Cancelled,25,2025-04-28 05:00:00
ORD-000076,003DQ00000Gq3DwYAJ,mila.vries21@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,19.12,Cancelled,20,2025-01-26 07:26:00
ORD-000077,003DQ00000Gq3E4YAJ,maud.boer29@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,41.93,Delivered,26,2025-09-14 16:22:00
ORD-000078,003DQ00000Gq3DeYAJ,emma.dijk3@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,88.43,Delivered,53,2025-11-29 23:44:00
ORD-000079,003DQ00000Gq3DnYAJ,thomas.peters12@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,10.81,Cancelled,55,2026-06-15 18:13:00
ORD-000080,003DQ00000Gq3DyYAJ,nora.dijk23@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,24.78,Delivered,61,2025-06-06 04:22:00
ORD-000081,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,19.12,Refunded,62,2025-10-27 12:23:00
ORD-000082,003DQ00000Gq3DiYAJ,tess.meijer7@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,61.59,Refunded,28,2025-10-30 01:07:00
ORD-000083,003DQ00000Gq3DeYAJ,emma.dijk3@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,8.28,Delivered,52,2025-06-29 21:27:00
ORD-000084,003DQ00000Gq3EAYAZ,lieke.dekker35@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,29.81,Delivered,40,2026-01-24 12:43:00
ORD-000085,003DQ00000Gq3DkYAJ,sara.boer9@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,62.5,Cancelled,25,2025-03-06 08:56:00
ORD-000086,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,35.54,Refunded,26,2025-10-24 09:25:00
ORD-000087,003DQ00000Gq3DuYAJ,sophie.smits19@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,24.91,Delivered,44,2025-01-28 18:42:00
ORD-000088,003DQ00000Gq3E9YAJ,sven.leeuwen34@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,8.28,Delivered,40,2025-05-12 09:02:00
ORD-000089,003DQ00000Gq3DdYAJ,daan.jansen2@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,20.48,Delivered,33,2026-05-19 07:47:00
ORD-000090,003DQ00000Gq3EPYAZ,floris.bos50@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,15.43,Delivered,53,2026-06-04 01:17:00
ORD-000091,003DQ00000Gq3DkYAJ,sara.boer9@example.com,001DQ00000N9TWWYA3,Athena Grill,20,10,136.73,Refunded,63,2025-12-30 18:16:00
ORD-000092,003DQ00000Gq3DcYAJ,sanne.vries1@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,49.93,Delivered,53,2025-08-10 01:31:00
ORD-000093,003DQ00000Gq3E5YAJ,gijs.bos30@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,5.65,Delivered,21,2025-10-23 20:46:00
ORD-000094,003DQ00000Gq3EGYAZ,yara.vries41@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,8.28,Delivered,49,2025-02-03 23:26:00
ORD-000095,003DQ00000Gq3EOYAZ,amber.boer49@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,37.49,Cancelled,41,2025-05-20 09:42:00
ORD-000096,003DQ00000Gq3EAYAZ,lieke.dekker35@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,29.31,Cancelled,34,2025-07-25 22:44:00
ORD-000097,003DQ00000Gq3E6YAJ,femke.vos31@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,51.04,Delivered,62,2025-03-23 13:16:00
ORD-000098,003DQ00000Gq3DsYAJ,fleur.wit17@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,84.26,Delivered,40,2025-08-26 05:54:00
ORD-000099,003DQ00000Gq3E1YAJ,tim.smit26@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,17.12,Delivered,27,2025-06-15 09:03:00
ORD-000100,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.05,Refunded,38,2026-04-20 15:51:00
ORD-000101,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,43.34,Delivered,53,2025-07-01 11:11:00
ORD-000102,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,9.34,Refunded,43,2025-06-07 15:56:00
ORD-000103,003DQ00000Gq3DxYAJ,jesse.jansen22@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.38,Refunded,22,2026-03-10 18:09:00
ORD-000104,003DQ00000Gq3DhYAJ,sem.smit6@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,59.58,Delivered,23,2025-08-18 21:27:00
ORD-000105,003DQ00000Gq3DnYAJ,thomas.peters12@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,5.05,Delivered,31,2025-03-02 01:55:00
ORD-000106,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,10.81,Delivered,59,2025-09-26 14:56:00
ORD-000107,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,91.85,Delivered,62,2026-03-15 20:21:00
ORD-000108,003DQ00000Gq3DkYAJ,sara.boer9@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,19.91,Delivered,56,2026-05-11 15:09:00
ORD-000109,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,14.38,Delivered,20,2025-11-04 18:17:00
ORD-000110,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,5.05,Delivered,42,2026-04-11 06:34:00
ORD-000111,003DQ00000Gq3E3YAJ,stijn.mulder28@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,62.31,Delivered,26,2025-11-18 02:02:00
ORD-000112,003DQ00000Gq3EDYAZ,joost.dijkstra38@example.com,001DQ00000N9TWWYA3,Athena Grill,20,10,128.26,Cancelled,31,2025-07-13 04:34:00
ORD-000113,003DQ00000Gq3DpYAJ,milan.leeuwen14@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.19,Delivered,40,2026-06-14 00:13:00
ORD-000114,003DQ00000Gq3DzYAJ,ruben.bakker24@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,10.81,Refunded,46,2025-12-22 11:31:00
ORD-000115,003DQ00000Gq3DiYAJ,tess.meijer7@example.com,001DQ00000N9TWWYA3,Athena Grill,20,10,132.41,Refunded,37,2025-06-21 19:51:00
ORD-000116,003DQ00000Gq3EHYAZ,koen.jansen42@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,15.86,Delivered,52,2026-05-07 22:07:00
ORD-000117,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,10.81,Delivered,63,2025-04-03 11:19:00
ORD-000118,003DQ00000Gq3DzYAJ,ruben.bakker24@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,19.55,Cancelled,39,2025-01-04 05:58:00
ORD-000119,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,91.11,Delivered,23,2025-10-04 10:55:00
ORD-000120,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,96.8,Delivered,21,2026-05-09 02:27:00
ORD-000121,003DQ00000Gq3DkYAJ,sara.boer9@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,10.81,Delivered,38,2025-09-15 19:11:00
ORD-000122,003DQ00000Gq3DoYAJ,anna.hendriks13@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,39.94,Refunded,55,2026-01-22 09:10:00
ORD-000123,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,5.65,Delivered,40,2025-01-24 22:24:00
ORD-000124,003DQ00000Gq3E6YAJ,femke.vos31@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,19.55,Cancelled,34,2025-05-29 02:02:00
ORD-000125,003DQ00000Gq3DrYAJ,noah.brouwer16@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.19,Delivered,25,2025-11-19 08:09:00
ORD-000126,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,18.13,Refunded,30,2025-03-27 19:06:00
ORD-000127,003DQ00000Gq3DwYAJ,mila.vries21@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.82,Delivered,31,2026-05-17 13:07:00
ORD-000128,003DQ00000Gq3E3YAJ,stijn.mulder28@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.38,Delivered,32,2026-06-06 15:29:00
ORD-000129,003DQ00000Gq3EOYAZ,amber.boer49@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,22.38,Delivered,47,2025-10-16 17:42:00
ORD-000130,003DQ00000Gq3ENYAZ,jens.mulder48@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,45.59,Delivered,35,2025-07-30 03:25:00
ORD-000131,003DQ00000Gq3E3YAJ,stijn.mulder28@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,10.81,Delivered,23,2025-01-16 02:24:00
ORD-000132,003DQ00000Gq3DjYAJ,finn.mulder8@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,12.19,Delivered,41,2025-03-18 02:21:00
ORD-000133,003DQ00000Gq3DnYAJ,thomas.peters12@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,42.26,Delivered,50,2026-04-01 13:09:00
ORD-000134,003DQ00000Gq3E5YAJ,gijs.bos30@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.87,Refunded,37,2025-11-25 02:36:00
ORD-000135,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.38,Delivered,50,2025-02-13 21:46:00
ORD-000136,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.04,Delivered,35,2025-11-20 22:14:00
ORD-000137,003DQ00000Gq3EBYAZ,bas.brouwer36@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,17.12,Delivered,25,2026-03-03 07:12:00
ORD-000138,003DQ00000Gq3EOYAZ,amber.boer49@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,20.09,Delivered,55,2025-07-07 06:53:00
ORD-000139,003DQ00000Gq3DsYAJ,fleur.wit17@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,14.87,Cancelled,19,2025-03-24 08:15:00
ORD-000140,003DQ00000Gq3EJYAZ,wout.bakker44@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,53.14,Cancelled,46,2026-03-28 23:09:00
ORD-000141,003DQ00000Gq3DkYAJ,sara.boer9@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,5.05,Delivered,50,2026-04-21 18:20:00
ORD-000142,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,15.43,Delivered,56,2025-04-22 04:36:00
ORD-000143,003DQ00000Gq3DrYAJ,noah.brouwer16@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,25.96,Delivered,36,2026-06-25 04:16:00
ORD-000144,003DQ00000Gq3E0YAJ,roos.visser25@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,22.82,Delivered,22,2025-07-10 22:54:00
ORD-000145,003DQ00000Gq3EEYAZ,marit.smits39@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,78.27,Cancelled,47,2025-07-22 17:22:00
ORD-000146,003DQ00000Gq3DmYAJ,lotte.vos11@example.com,001DQ00000N9TWWYA3,Athena Grill,10,5,66.78,Refunded,48,2025-12-18 12:43:00
ORD-000147,003DQ00000Gq3EKYAZ,britt.visser45@example.com,001DQ00000N9TWWYA3,Athena Grill,2,1,12.19,Delivered,29,2025-05-09 16:14:00
ORD-000148,003DQ00000Gq3DpYAJ,milan.leeuwen14@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,23.0,Delivered,18,2025-11-08 00:59:00
ORD-000149,003DQ00000Gq3EPYAZ,floris.bos50@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,36.97,Delivered,42,2026-01-23 04:21:00
ORD-000150,003DQ00000Gq3EOYAZ,amber.boer49@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,51.28,Delivered,19,2026-06-10 19:33:00
ORD-000151,003DQ00000Gq3E8YAJ,iris.hendriks33@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,20.09,Delivered,60,2025-04-16 16:26:00
ORD-000152,003DQ00000Gq3E8YAJ,iris.hendriks33@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,82.34,Delivered,24,2026-02-13 19:56:00
ORD-000153,003DQ00000Gq3EKYAZ,britt.visser45@example.com,001DQ00000N9TWWYA3,Athena Grill,20,10,114.45,Delivered,42,2025-01-26 21:57:00
ORD-000154,003DQ00000Gq3EIYAZ,sterre.dijk43@example.com,001DQ00000N9TWWYA3,Athena Grill,15,7,89.85,Cancelled,45,2026-04-19 08:42:00
ORD-000155,003DQ00000Gq3EKYAZ,britt.visser45@example.com,001DQ00000N9TWWYA3,Athena Grill,6,3,30.64,Delivered,39,2025-05-31 07:08:00
ORD-000156,003DQ00000Gq3E7YAJ,niels.peters32@example.com,001DQ00000N9TWWYA3,Athena Grill,12,6,72.01,Delivered,53,2025-05-28 07:55:00
ORD-000157,003DQ00000Gq3EMYAZ,noor.meijer47@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,37.25,Refunded,28,2025-12-05 20:01:00
ORD-000158,003DQ00000Gq3E4YAJ,maud.boer29@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,5.04,Delivered,34,2025-05-20 07:52:00
ORD-000159,003DQ00000Gq3DzYAJ,ruben.bakker24@example.com,001DQ00000N9TWWYA3,Athena Grill,1,1,14.87,Delivered,31,2026-01-24 11:58:00
ORD-000160,003DQ00000Gq3E7YAJ,niels.peters32@example.com,001DQ00000N9TWWYA3,Athena Grill,4,2,25.13,Cancelled,21,2026-06-17 23:08:00
